Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-04-02,18.000,1.000,1.000,70.997,61.000,127.000,6981.000,97.000
2020-04-03,16.000,,,71.102,60.000,83.000,4774.351,104.000
2020-04-04,15.000,34.000,10.000,80.895,60.000,140.000,8488.706,105.000
2020-04-05,17.000,47.000,14.000,89.396,62.000,209.000,12121.000,96.000
2020-04-06,15.000,6.000,1.000,71.109,58.000,104.000,4930.000,97.000
2020-04-07,19.000,,,67.053,59.000,94.000,4600.000,81.500
2020-04-08,17.000,33.970,5.000,79.216,64.000,116.000,7661.768,98.000
2020-04-09,16.000,11.030,4.000,74.741,60.000,93.000,4431.232,93.500
2020-04-10,19.000,5.000,7.000,75.123,61.000,121.000,6522.000,97.000
2020-04-11,16.000,5.000,11.739,79.945,59.000,169.000,7864.000,103.500
2020-04-12,16.000,6.000,7.000,69.589,57.000,98.000,6197.000,102.000
2020-04-13,15.000,4.000,3.000,69.698,60.000,88.000,4944.000,97.000
2020-04-14,14.000,4.000,2.000,70.885,58.000,76.000,4855.000,91.500
2020-04-15,13.000,1.000,,73.019,61.000,81.000,4898.000,112.000
2020-04-16,17.000,3.000,4.000,71.491,58.000,102.000,5235.000,102.000
2020-04-17,15.000,3.000,,74.363,62.000,78.000,4434.000,113.000
2020-04-18,16.000,8.000,1.000,78.489,67.000,120.000,7818.000,102.000
2020-04-19,17.000,10.000,11.000,73.816,60.000,122.000,6800.000,99.000
2020-04-20,15.000,6.000,,73.978,61.000,90.000,4698.000,111.000
2020-04-21,16.000,21.000,1.000,75.144,62.000,100.000,6638.000,106.000
2020-04-22,15.000,41.000,,85.307,61.000,108.000,6994.000,127.000
2020-04-23,16.000,35.000,1.000,78.064,60.000,95.000,6267.000,123.000
2020-04-24,12.000,16.000,1.000,79.573,60.000,61.000,4785.353,139.000
2020-04-25,15.000,14.000,11.000,78.600,60.000,191.000,9101.647,103.000
2020-04-26,18.000,8.000,16.000,70.340,58.000,129.000,6992.000,94.000
2020-04-27,18.000,,3.000,68.650,58.000,82.000,4943.298,98.000
2020-04-28,15.000,19.000,1.000,73.942,61.000,82.000,5488.000,102.000
2020-04-29,15.000,1.000,1.000,71.581,62.000,67.000,4443.000,105.000
2020-04-30,15.000,7.000,1.000,76.207,64.000,59.000,3749.000,103.000
2020-05-01,14.000,31.000,1.900,80.402,59.000,92.000,7013.000,112.000
2020-05-02,17.000,37.000,3.000,88.943,62.000,158.000,8963.000,105.500
